Sample Name,Sample ID (entry),Sample description (designation),Fraction of markers successfully genotyped,Fraction of heterozygous genotypes
AH-097,392,G. amourianum,0.654,0.08
AH-103,377,HLA (H=G. hirsutum  L=G. longicalyx  A=G. armourianum),0.851,0.39
AH-149,393,G. longicalyx,0.669,0.122
AH-176,398,201208092.01_StellyLabLine (tomentosum),0.862,0.114
AH-188,394,201208093.05_StellyLabLine (mustelinum),0.857,0.117
AH-195,268,Stoneville 825,0.873,0.112
AH-196,384,A2-1654,0.721,0.117
AH-197,189,NM24016,0.874,0.112
AH-199,271,Suregrow 747,0.874,0.111
AH-202,16,Acala Ultima,0.845,0.146
AH-210,154,Li1,0.874,0.11
AH-212,276,TAMCOT CAMD-E,0.873,0.11
AH-213,290,TM-1,0.874,0.11
AH-216,321,TX-0231,0.871,0.111
AH-217,115,FiberMax 966,0.873,0.134
AH-219,220,Phytogen PSC355,0.874,0.168
AH-224,95,Deltapine 90,0.848,0.139
AH-229,381,Pima 57-4,0.865,0.113
AH-230,223,Pyramid,0.864,0.113
AH-231,397,D1-4,0.649,0.08
AH-232,182,MD90ne,0.874,0.109
AH-237,267,Stoneville 474 ,0.874,0.113
AH-240,102,DeRidder Red,0.87,0.111
AH-243,114,FiberMax 832,0.859,0.157
AH-245,67,Coker 315,0.853,0.18
AH-246,376,(A2D1)2 (A2=G. arboreum  D1=G. armourianum),0.82,0.128
AH-247,282,TAMCOT Sphinx,0.874,0.11
AH-253,155,Li2,0.866,0.115
AH-260,383,Co25 / VH8-4602,0.865,0.113
AH-261,101,Deltapine 5690,0.874,0.111
AH-262,382,Sev7,0.865,0.113
AH-263,201,Paymaster HS26,0.874,0.109
AH-264,224,R1Tm1 (Gh),0.874,0.109
AH-269,181,MD52ne,0.874,0.109
AH-270,142,im,0.874,0.109
AH-272,168,M240,0.874,0.109
AH-278,58,Co27(Gh) / Guazuncho 2,0.873,0.116
AH-286,63,Coker 312,0.874,0.109
AH-367,219,Phytogen 72,0.874,0.109
AH-385,235,S-6524,0.864,0.113
AH-386,14,Acala NemX2,0.874,0.109
AH-387,307,TX-0094,0.873,0.114
AH-389,310,TX-0126,0.874,0.11
AH-395,316,TX-0192,0.872,0.191
AH-397,319,TX-0202,0.873,0.197
AH-400,375,Peale1B,0.87,0.111
AH-401,295,VIR-5913  BANCROFT M 64/153,0.874,0.13
AH-403,205,PD 1,0.869,0.143
AH-405,1,08-WZ-51,0.874,0.109
AH-406,13,Acala NemX1,0.874,0.109
AH-407,11,Acala Maxxa ,0.874,0.109
AH-410,47,Cascot B-2,0.863,0.117
AH-411,313,TX-0155,0.873,0.11
AH-412,241,Sealand542,0.87,0.115
AH-413,150,Lambright 2020A,0.874,0.109
AH-415,318,TX-0200,0.873,0.11
AH-418,323,TX-0376,0.873,0.111
AH-421,169,Mac7-0238,0.871,0.112
AH-422,314,TX-0168,0.873,0.11
AH-424,194,Pak-22 Vir-5850,0.874,0.169
AH-431,69,Colombia 1 Gossica N21 VIR-7263  ,0.874,0.159
AH-435,274,TAM 90J-57s,0.874,0.11
AH-440,322,TX-0282,0.872,0.11
AH-442,302,Zhong Mian Suo 9 hao,0.874,0.109
AH-446,312,TX-0142,0.872,0.111
AH-455,242,Shan 5245,0.874,0.112
AH-456,158,Limpopo,0.871,0.111
AH-457,94,Deltapine 80,0.871,0.111
AH-459,311,TX-0136,0.872,0.111
AH-461,374,TX-2263,0.87,0.263
AH-462,309,TX-0112,0.873,0.113
AH-467,9,Acala 1517-99,0.874,0.109
AH-468,315,TX-0189,0.873,0.11
AH-470,304,TX-0021,0.874,0.11
AH-472,179,MD26ne,0.874,0.109
AH-477,367,TX-2094,0.871,0.203
AH-479,128,Garant,0.874,0.113
AH-481,130,GL 7,0.874,0.109
AH-482,326,TX-0463,0.873,0.11
AH-483,263,Stoneville 213,0.873,0.109
AH-484,350,TX-1500,0.871,0.124
AH-485,12,Acala Maxxa ,0.874,0.109
AH-486,191,NTA 90-8,0.874,0.109
AH-488,134,Guazuncho II,0.873,0.111
AH-489,293,UK 77 ,0.871,0.119
AH-492,332,TX-0712,0.87,0.114
AH-493,330,TX-0702,0.874,0.11
AH-495,125,FMT 701 ,0.874,0.109
AH-496,20,Albar K603 ,0.868,0.133
AH-497,357,TX-1661,0.871,0.189
AH-498,41,BRS 372 ,0.873,0.112
AH-499,53,Chaco 520 ,0.873,0.119
AH-500,232,RN96527,0.873,0.167
AH-501,50,CD 410,0.874,0.109
AH-502,342,TX-1039,0.873,0.144
AH-503,35,BPA 68  CB 4030,0.874,0.11
AH-504,346,TX-1240,0.869,0.116
AH-505,334,TX-0720,0.87,0.117
AH-506,365,TX-1926,0.872,0.179
AH-507,147,IMACD 8276,0.874,0.109
AH-508,362,TX-1895,0.872,0.111
AH-510,19,Albar 627,0.873,0.111
AH-512,55,Chureza 87 ,0.869,0.118
AH-513,90,Deltapine 25,0.874,0.109
AH-514,84,Deltapine 12,0.874,0.11
AH-515,306,TX-0069,0.868,0.113
AH-516,36,BRS 269,0.869,0.137
AH-517,85,Deltapine 14,0.874,0.109
AH-519,275,TAM 98D102,0.874,0.148
AH-521,109,Dunn 325,0.874,0.109
AH-523,345,TX-1229,0.869,0.115
AH-524,116,FiberMax 966 (Sicala 40),0.874,0.11
AH-525,5,A-618,0.873,0.11
